route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
9775,RGRTA,4X/8X ,Melrose/Genesee - East Main,,3,,,
9776,RGRTA,2X/8X ,Thurston/East Main,,3,,,
9777,RGRTA,8X ,Gen Pk Blvd/East Main,,3,,,
9778,RGRTA,9X/8X ,Maple/Jay - East Main,,3,,,
9779,RGRTA,10X/8X ,Dewey/East Main,,3,,,
9780,RGRTA,5X/8X ,St Paul/East Main,,3,,,
9781,RGRTA,7X/8X ,N Clinton/East Main,,3,,,
9782,RGRTA,11X/8X ,Joseph/East Main,,3,,,
9783,RGRTA,4X/8X ,Hudson/East Main,,3,,,
9784,RGRTA,10X/8X ,Portland/East Main,,3,,,
9785,RGRTA,9X/8X ,Webster/Bay - East Main,,3,,,
9786,RGRTA,3X/8X ,Goodman/East Main,,3,,,
9787,RGRTA,11X/8X ,S Clinton/East Main,,3,,,
9788,RGRTA,16X/8X ,Crosstown/East Main,,3,,,
9789,RGRTA,LATS ,Geneseo Campus Local,,3,,,
9790,RGRTA,LATS ,Express Shopper,,3,,,
9791,RGRTA,LATS ,Knight Village Route,,3,,,
9792,RGRTA,LATS ,Knight Express Route,,3,,,
9793,RGRTA,LATS ,Rochester UR,,3,,,
9794,RGRTA,LATS ,Geneseo - Rochester,,3,,,
9795,RGRTA,LATS ,Geneseo - Eastview,,3,,,
9796,RGRTA,LATS ,Geneseo - Letchworth,,3,,,
9797,RGRTA,LATS ,Route 1,,3,,,
9798,RGRTA,LATS ,Route 2,,3,,,
9799,RGRTA,LATS ,Route 3,,3,,,
9800,RGRTA,LATS ,Route 4,,3,,,
9801,RGRTA,LATS ,Route 5,,3,,,
9802,RGRTA,LATS ,Route 6,,3,,,
