stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
252,252,Brooks & Stanfield,BROOKS AVE & GILLETTE ST,43.131044,-77.64923,,,,
253,253,Brooks & Thurston,BROOKS AVE & THURSTON RD,43.130999,-77.650468,,,,
254,254,Brooks & Wegmans Dist Ctr,,43.130646,-77.67679,,,,
255,255,Brooks & Westfield,,43.130957,-77.655108,,,,
256,256,Brooks & Woodbine,BROOKS AVE & WOODBINE AVE,43.130944,-77.645393,,,,
257,257,Brown & Plymouth,BROWN ST & PLYMOUTH AVE N,43.161007,-77.621289,,,,
258,258,Browncroft & 2481 Browncroft,STATE HWY 286 & PLYMOUTH AVE N,43.15361,-77.50737,,,,
260,260,Browncroft & Browncroft Townhouses,STATE HWY 286 & UNNAMED ST,43.157625,-77.537771,,,,
262,262,Browncroft & Newcastle,BROWNCROFT BLVD & NEWCASTLE RD,43.157423,-77.541849,,,,
263,263,Browncroft & White Village,STATE HWY 286 & WHITE VILLAGE DR,43.153558,-77.512088,,,,
264,264,Browncroft & White Village,STATE HWY 286 & WHITE VILLAGE DR,43.153685,-77.510978,,,,
265,265,Buffalo & 1150 Buffalo,STATE HWY 33 & UNNAMED ST,43.150033,-77.682164,,,,
266,266,Buffalo & 1150 Buffalo,STATE HWY 33 & UNNAMED ST,43.149905,-77.68217,,,,
267,267,Buffalo & 1672 Buffalo,STATE HWY 33 & UNNAMED ST,43.149943,-77.696018,,,,
268,268,Buffalo & 1931 Buffalo,STATE HWY 33 & BUFFALO RD,43.149104,-77.703488,,,,
269,269,Buffalo & 2200 Buffalo,STATE HWY 33 & COUNTY HWY 160,43.147539,-77.709868,,,,
270,270,Buffalo & 535 Buffalo,STATE HWY 33 & COUNTY HWY 160,43.150353,-77.663803,,,,
271,271,Buffalo & 535 Buffalo,STATE HWY 33 & COUNTY HWY 160,43.150313,-77.663599,,,,
272,272,Buffalo & 885 Buffalo,STATE HWY 33 & VARIAN LN,43.149894,-77.674019,,,,
275,275,Buffalo & Columbus,STATE HWY 33 & UNNAMED ST,43.14979,-77.695357,,,,
276,276,Buffalo & Columbus,STATE HWY 33 & RELLIM BLVD,43.149801,-77.693426,,,,
277,277,Buffalo & Crestwood,STATE HWY 33 & CRESTWOOD BLVD,43.149994,-77.687507,,,,
278,278,Buffalo & Crestwood,STATE HWY 33 & CRESTWOOD BLVD,43.149858,-77.687816,,,,
279,279,Buffalo & Davy,STATE HWY 33 & DAVY DR,43.144484,-77.725051,,,,
280,280,Buffalo & Dearcop,STATE HWY 33 & DEARCOP DR,43.149901,-77.677081,,,,
281,281,Buffalo & Dearcop,STATE HWY 33 & DEARCOP DR,43.150042,-77.677055,,,,
282,282,Buffalo & 1941 Buffalo,STATE HWY 33 & COUNTY HWY 160,43.149342,-77.703263,,,,
283,283,Buffalo & Elmgrove,STATE HWY 33 & ELMGROVE ROAD EXT,43.143992,-77.731823,,,,
284,284,Buffalo & Elmgrove,STATE HWY 33 & ELMGROVE ROAD EXT,43.143874,-77.731672,,,,
287,287,Buffalo & Green Acre,STATE HWY 33 & GREEN ACRE LN,43.149894,-77.698972,,,,
288,288,Buffalo & Green Acre,STATE HWY 33 & GREEN ACRE LN,43.149766,-77.699194,,,,
289,289,Buffalo & Horatio,STATE HWY 33 & HORATIO LN,43.144406,-77.724213,,,,
290,290,Buffalo & Howard,STATE HWY 33 & STATE RTE 940L,43.149976,-77.690454,,,,
291,291,Buffalo & Howard,STATE HWY 33 & STATE RTE 940L,43.149847,-77.690019,,,,
295,295,Buffalo & McKee,STATE HWY 33 & MCKEE RD,43.150045,-77.668057,,,,
296,296,Buffalo & McKee,STATE HWY 33 & MCKEE RD,43.149912,-77.667813,,,,
298,298,Buffalo & Mt Read,STATE HWY 33 & MILLER DR,43.151915,-77.660652,,,,
304,304,Buffalo & Rellim,STATE HWY 33 & RELLIM BLVD,43.149954,-77.693802,,,,
306,306,Buffalo & Trabold,STATE HWY 33 & TRABOLD RD,43.144283,-77.72627,,,,
311,311,Buffalo & Wegman,STATE HWY 33 & COUNTY HWY 156,43.146921,-77.711534,,,,
312,312,Buffalo & Westmar Plaza,STATE HWY 33 & COUNTY HWY 160,43.147919,-77.7085,,,,
313,313,Bushnells Basin Park & Ride,SILVER PINES DR & BAY RD,43.056973,-77.472151,,,,
314,314,Byron & Clinton,STATE HWY 15 & CLINTON AVE S,43.148416,-77.604441,,,,
315,315,Cairn & 10 Cairn,CAIRN ST & CLINTON AVE S,43.147204,-77.661853,,,,
316,316,Cairn & 10 Cairn,CAIRN ST & CLINTON AVE S,43.147398,-77.661521,,,,
317,317,Cairn & 15 Cairn,CAIRN ST & CLINTON AVE S,43.145514,-77.663442,,,,
318,318,Cairn & 2 Cairn,CAIRN ST & SYMINGTON PL,43.148652,-77.660586,,,,
319,319,Cairn & 20 Cairn,CAIRN ST & SYMINGTON PL,43.144285,-77.664884,,,,
320,320,Cairn & 15 Cairn,CAIRN ST & SYMINGTON PL,43.144969,-77.663927,,,,
321,321,Cairn & 2 Cairn,CAIRN ST & SYMINGTON PL,43.148708,-77.660643,,,,
322,322,Cairn & Chili,CAIRN ST & STATE HWY 33A,43.141443,-77.666111,,,,
324,324,Cairn & West,CAIRN ST & WEST AVE,43.149596,-77.659858,,,,
326,326,Calkins & 475 Calkins,COUNTY HWY 39 & COLUMBUS DR,43.068293,-77.625441,,,,
327,327,Calkins & Amsden,COUNTY HWY 39 & AMSDEN DR,43.068607,-77.603906,,,,
328,328,Calkins & Amsden,COUNTY HWY 39 & AMSDEN DR,43.068467,-77.603973,,,,
329,329,Calkins & Bard,COUNTY HWY 39 & BARD LN,43.068681,-77.591495,,,,
330,330,Calkins & Bard,COUNTY HWY 39 & BARD LN,43.06881,-77.591017,,,,
331,331,Calkins & Colony,COUNTY HWY 39 & COLONY LN,43.068583,-77.597694,,,,
332,332,Calkins & Colony,COUNTY HWY 39 & COLONY LN,43.068719,-77.597358,,,,
334,334,Calkins & Gareth,COUNTY HWY 39 & GARETH WAY,43.068541,-77.601605,,,,
335,335,Calkins & Gloucester,COUNTY HWY 39 & GLOUCESTER CIR,43.068587,-77.6122,,,,
336,336,Calkins & Gloucester,COUNTY HWY 39 & GLOUCESTER CIR,43.068804,-77.61103,,,,
337,337,Calkins & Memorial,COUNTY HWY 39 & MEMORIAL DR,43.0684,-77.6177,,,,
338,338,Calkins & Strawberry Hill,COUNTY HWY 39 & STRAWBERRY HILL RD,43.068588,-77.620223,,,,
339,339,Calkins & Town Hall,COUNTY HWY 39 & COLUMBUS DR,43.068483,-77.624966,,,,
340,340,Calkins & Tulane,COUNTY HWY 39 & TULANE PKWY,43.068567,-77.599951,,,,
341,341,Calkins & Tulane,COUNTY HWY 39 & TULANE PKWY,43.068683,-77.599741,,,,
343,343,Calkins & Zornow,COUNTY HWY 39 & ZORNOW DR,43.068793,-77.594825,,,,
344,344,Calkins & Zornow,COUNTY HWY 39 & ZORNOW DR,43.068629,-77.594988,,,,
